fileId,fileUrls for custom selected,size
4618183772,/archive/allData/5000/VNP46A1/2019/071/VNP46A1.A2019071.h10v04.001.2019072142755.h5,40388568
4755125307,/archive/allData/5000/VNP46A1/2019/060/VNP46A1.A2019060.h10v04.001.2019080102703.h5,39757126
4755505667,/archive/allData/5000/VNP46A1/2019/061/VNP46A1.A2019061.h10v04.001.2019080110317.h5,40105109
4756098552,/archive/allData/5000/VNP46A1/2019/062/VNP46A1.A2019062.h10v04.001.2019080120605.h5,46367822
4757350448,/archive/allData/5000/VNP46A1/2019/063/VNP46A1.A2019063.h10v04.001.2019080141049.h5,49095291
4757883829,/archive/allData/5000/VNP46A1/2019/064/VNP46A1.A2019064.h10v04.001.2019080150809.h5,47876406
4760142078,/archive/allData/5000/VNP46A1/2019/065/VNP46A1.A2019065.h10v04.001.2019080184110.h5,41994014
4718655177,/archive/allData/5000/VNP46A1/2019/066/VNP46A1.A2019066.h10v04.001.2019077161544.h5,41484655
4718701645,/archive/allData/5000/VNP46A1/2019/067/VNP46A1.A2019067.h10v04.001.2019077162508.h5,45464013
4719010305,/archive/allData/5000/VNP46A1/2019/068/VNP46A1.A2019068.h10v04.001.2019077170249.h5,48565106
4719399008,/archive/allData/5000/VNP46A1/2019/069/VNP46A1.A2019069.h10v04.001.2019077173918.h5,47814899
4719664791,/archive/allData/5000/VNP46A1/2019/070/VNP46A1.A2019070.h10v04.001.2019077183742.h5,42792677
4633672367,/archive/allData/5000/VNP46A1/2019/072/VNP46A1.A2019072.h10v04.001.2019073082024.h5,43413894
4665345497,/archive/allData/5000/VNP46A1/2019/073/VNP46A1.A2019073.h10v04.001.2019074084823.h5,46373735
4694320666,/archive/allData/5000/VNP46A1/2019/074/VNP46A1.A2019074.h10v04.001.2019075072507.h5,50370116
4704853686,/archive/allData/5000/VNP46A1/2019/075/VNP46A1.A2019075.h10v04.001.2019076070611.h5,45358557
4713931674,/archive/allData/5000/VNP46A1/2019/076/VNP46A1.A2019076.h10v04.001.2019077073630.h5,40120634
4726075980,/archive/allData/5000/VNP46A1/2019/077/VNP46A1.A2019077.h10v04.001.2019078202625.h5,42019158
4742427979,/archive/allData/5000/VNP46A1/2019/078/VNP46A1.A2019078.h10v04.001.2019079150745.h5,48112290
4757534729,/archive/allData/5000/VNP46A1/2019/079/VNP46A1.A2019079.h10v04.001.2019080143126.h5,50641890
4768457578,/archive/allData/5000/VNP46A1/2019/080/VNP46A1.A2019080.h10v04.001.2019081125733.h5,48684254
4779504235,/archive/allData/5000/VNP46A1/2019/081/VNP46A1.A2019081.h10v04.001.2019082082103.h5,40625956
4787492864,/archive/allData/5000/VNP46A1/2019/082/VNP46A1.A2019082.h10v04.001.2019083092908.h5,41604970
4799955660,/archive/allData/5000/VNP46A1/2019/083/VNP46A1.A2019083.h10v04.001.2019084095711.h5,43317594
4817469996,/archive/allData/5000/VNP46A1/2019/084/VNP46A1.A2019084.h10v04.001.2019085082332.h5,48644828
4833704802,/archive/allData/5000/VNP46A1/2019/085/VNP46A1.A2019085.h10v04.001.2019086081830.h5,48114746
4851035128,/archive/allData/5000/VNP46A1/2019/086/VNP46A1.A2019086.h10v04.001.2019087163634.h5,42320757
4857207086,/archive/allData/5000/VNP46A1/2019/087/VNP46A1.A2019087.h10v04.001.2019088110633.h5,39888327
4858018954,/archive/allData/5000/VNP46A1/2019/088/VNP46A1.A2019088.h10v04.001.2019089074413.h5,42230615
4858555563,/archive/allData/5000/VNP46A1/2019/089/VNP46A1.A2019089.h10v04.001.2019090091515.h5,44566348
4858933261,/archive/allData/5000/VNP46A1/2019/090/VNP46A1.A2019090.h10v04.001.2019091093837.h5,47793766
4860052578,/archive/allData/5000/VNP46A1/2019/091/VNP46A1.A2019091.h10v04.001.2019092085035.h5,45219638
4863642224,/archive/allData/5000/VNP46A1/2019/092/VNP46A1.A2019092.h10v04.001.2019093064720.h5,38788799
4870910283,/archive/allData/5000/VNP46A1/2019/093/VNP46A1.A2019093.h10v04.001.2019094072658.h5,40408759
4877905721,/archive/allData/5000/VNP46A1/2019/094/VNP46A1.A2019094.h10v04.001.2019095090057.h5,45554575
4884512936,/archive/allData/5000/VNP46A1/2019/095/VNP46A1.A2019095.h10v04.001.2019096082034.h5,47238639
4890837123,/archive/allData/5000/VNP46A1/2019/096/VNP46A1.A2019096.h10v04.001.2019097071358.h5,43498533
4893755111,/archive/allData/5000/VNP46A1/2019/097/VNP46A1.A2019097.h10v04.001.2019098095841.h5,39321772
4894363285,/archive/allData/5000/VNP46A1/2019/098/VNP46A1.A2019098.h10v04.001.2019099074300.h5,38707213
4895149171,/archive/allData/5000/VNP46A1/2019/099/VNP46A1.A2019099.h10v04.001.2019100084815.h5,42265398
4898816922,/archive/allData/5000/VNP46A1/2019/100/VNP46A1.A2019100.h10v04.001.2019105193852.h5,47668184
4896513797,/archive/allData/5000/VNP46A1/2019/101/VNP46A1.A2019101.h10v04.001.2019102095923.h5,46962601
4897505953,/archive/allData/5000/VNP46A1/2019/102/VNP46A1.A2019102.h10v04.001.2019103095633.h5,41190034
4897948023,/archive/allData/5000/VNP46A1/2019/103/VNP46A1.A2019103.h10v04.001.2019104091447.h5,40017061
4898382953,/archive/allData/5000/VNP46A1/2019/104/VNP46A1.A2019104.h10v04.001.2019105093015.h5,40702621
4899483765,/archive/allData/5000/VNP46A1/2019/105/VNP46A1.A2019105.h10v04.001.2019106103248.h5,45705163
4900315295,/archive/allData/5000/VNP46A1/2019/106/VNP46A1.A2019106.h10v04.001.2019107100358.h5,48365931
4901263223,/archive/allData/5000/VNP46A1/2019/107/VNP46A1.A2019107.h10v04.001.2019108100349.h5,45786702
4901942243,/archive/allData/5000/VNP46A1/2019/108/VNP46A1.A2019108.h10v04.001.2019109092305.h5,40385966
4902629944,/archive/allData/5000/VNP46A1/2019/109/VNP46A1.A2019109.h10v04.001.2019110091405.h5,41458103
4903237174,/archive/allData/5000/VNP46A1/2019/110/VNP46A1.A2019110.h10v04.001.2019111100417.h5,46313464
4903800933,/archive/allData/5000/VNP46A1/2019/111/VNP46A1.A2019111.h10v04.001.2019112095636.h5,48311579
4905035138,/archive/allData/5000/VNP46A1/2019/112/VNP46A1.A2019112.h10v04.001.2019113100301.h5,47019389
4905663564,/archive/allData/5000/VNP46A1/2019/113/VNP46A1.A2019113.h10v04.001.2019114101232.h5,41485965
4907609358,/archive/allData/5000/VNP46A1/2019/114/VNP46A1.A2019114.h10v04.001.2019116212340.h5,40309465
4907746399,/archive/allData/5000/VNP46A1/2019/115/VNP46A1.A2019115.h10v04.001.2019116232501.h5,43986071
4908174690,/archive/allData/5000/VNP46A1/2019/116/VNP46A1.A2019116.h10v04.001.2019117093201.h5,47079586
4908724730,/archive/allData/5000/VNP46A1/2019/117/VNP46A1.A2019117.h10v04.001.2019118103707.h5,48384862
4909176737,/archive/allData/5000/VNP46A1/2019/118/VNP46A1.A2019118.h10v04.001.2019119113054.h5,40022527
4910073676,/archive/allData/5000/VNP46A1/2019/119/VNP46A1.A2019119.h10v04.001.2019120100739.h5,35781114
4911330656,/archive/allData/5000/VNP46A1/2019/120/VNP46A1.A2019120.h10v04.001.2019121095539.h5,39106863
